id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong1_cau96,96. Người mang ký sinh trùng nhưng không có biểu hiện bệnh lý gọi là.,Vật chủ có miễn dịch bảo vệ,Vật chủ trung gian cơ học,Vật chủ bị bệnh mạn tính,Vật chủ mang ký sinh trùng lành,trống,D,Người mang KST không biểu hiện bệnh lý là Vật chủ mang ký sinh trùng lành.
Chuong1_cau97,97. Một trong những đặc điểm nổi bật về hình thể của ký sinh trùng là.,Không có cơ quan vận động hoặc có cấu tạo đơn giản,Đa số rất nhỏ phải dùng kính hiển vi mới coi được,"Cấu tạo cơ quan đơn giản, trừ cơ quan tiêu hóa","Hình thể, kích thước rất khác nhau giữa các loài & giữa các thời kỳ của cùng một loài",trống,D,"Hình thể, kích thước KST rất khác nhau giữa các loài và các thời kỳ phát triển."
Chuong1_cau98,98. Người chứa KST nhưng không có biểu hiện bệnh lý được gọi là.,Ký chủ vĩnh viễn,Ký chủ chính,Ký chủ chờ thời,Người lành mang mầm bệnh,trống,D,Người chứa KST không bệnh là Người lành mang mầm bệnh.
Chuong1_cau99,99. Tính đặc hiệu ký sinh của KST bao gồm.,Đặc hiệu về ký chủ,Đặc hiệu về nơi ký sinh,Đặc hiệu về ký chủ và nơi ký sinh,Tất cả đều đúng,trống,C,Tính đặc hiệu ký sinh bao gồm Đặc hiệu về ký chủ và Đặc hiệu về nơi ký sinh.
Chuong1_cau100,100. KST nào sau đây chỉ có thể ký sinh ở một loài ký chủ duy nhất.,Ascaris lumbricoides (Giun đũa),Toxoplasma gondii,Paragonimus westermani (Sán lá phổi),Tất cả đều đúng,trống,A,Giun đũa (Ascaris lumbricoides) chỉ ký sinh ở một loài ký chủ duy nhất (người).
Chuong1_cau101,101. Người là ký chủ duy nhất của,Enterobius vermicularis (giun kim),Taenia saginata (Sán dài bò),Taenia solium (Sán dài heo),Tất cả đều sai,trống,A,"Giun kim (Enterobius vermicularis) là KST đơn ký, người là ký chủ duy nhất."
Chuong1_cau102,102. KST nào sau đây có thể sống ở nhiều cơ quan khác nhau của ký chủ.,Ascaris lumbricoides (Giun đũa),Toxoplasma gondii,Enterobius vermicularis (giun kim),Tất cả đều đúng,trống,B,Toxoplasma gondii có thể sống ở nhiều cơ quan khác nhau.
Chuong1_cau103,103. Chu trình phát triển của Toenia solium thuộc loại.,Trực tiếp và ngắn,Trực tiếp và dài,Qua một ký chủ trung gian,Ký chủ vĩnh viễn đồng thời là ký chủ trung gian,trống,D,Chu trình sán dây lợn có thể khiến người là ký chủ vĩnh viễn đồng thời là ký chủ trung gian.
Chuong1_cau104,104. Nội KST,KST sống ở bề mặt cơ thể sinh vật khác,KST sống bên trong cơ thể sinh vật khác,KST vừa sống bên trong và bề mặt cơ thể sinh vật khác,Tất cả đều sai,trống,B,Nội KST sống bên trong cơ thể sinh vật khác.
Chuong1_cau105,105. KST lạc chỗ,KST sống ở một ký chủ duy nhất,KST là chất cặn bả,KST có nhiều ký chủ,KST đi lạc sang một cơ quan khác với cơ quan nó thường cư trú,trống,D,KST lạc chỗ đi lạc sang một cơ quan khác với cơ quan nó thường cư trú.
Chuong1_cau106,106. KST nào sau đây thuộc ngoại KST,Giun đũa,Sán lá gan,Cái ghẻ,Giun kim,trống,C,Cái ghẻ ký sinh ở bề mặt da (ngoại KST).
Chuong1_cau107,107. KST nào sau đây thuộc nội KST,Giun kim,Muỗi,Chí,Rận,trống,A,Giun kim ký sinh trong ruột già (nội KST).
Chuong1_cau108,108. KST lạc chủ,KST đi lạc sang một cơ quan khác với cơ quan nó thường cư trú,KST thường sống ở một ký chủ nhất định nhưng có thể nhiễm qua ký chủ khác,KST không sống bên trong mà sống bên ngoài ký chủ,Tất cả đều sai,trống,B,KST lạc chủ là KST thường sống ở một ký chủ nhất định nhưng có thể nhiễm qua ký chủ khác.
Chuong1_cau109,109. Hiện tượng cộng đồng kháng nguyên có thể xảy ra,Những ký sinh có họ hàng gần nhau,Những ký sinh có họ hàng xa nhau,Giữa KST và vi khuẩn,"Tất cả A,B và C",trống,A,Cộng đồng kháng nguyên xảy ra ở những KST có họ hàng gần nhau.
Chuong1_cau110,110. Ký chủ chính là,Động vật mà KST thường hay ký sinh,Động vật mang nhiều ký sinh,Động vật mang ký sinh ở người,Tất cả đều đúng,trống,A,Ký chủ chính là Động vật mà KST thường hay ký sinh.
Chuong1_cau111,111. Trung gian truyền bệnh là,Loại côn trùng hoặc than mềm mang KST và truyền KST từ người này sang người khác,Động vật mang mầm bệnh,Động vật nuốt phải KST,Tất cả đều sai,trống,A,Trung gian truyền bệnh (vector) là côn trùng hoặc thân mềm mang KST và truyền KST từ người này sang người khác.
Chuong1_cau112,112. Chu trình phát triển của KST đường ruột,Chu trình trực tiếp và ngắn,Chu trình trực tiếp và dài,Chu trình gián tiếp,"Tất cả A, B, C",trống,D,KST đường ruột có thể có cả ba loại chu trình trên.
Chuong1_cau113,113. Vị trí của con người trong chu trình phát triển của KST,"Người là ký chủ duy nhất, là ngõ cục ký sinh",Giai đoạn ở người xen kẽ giai đoạn ở động vật,"Giai đoạn chính ở động vật, ký sinh người là một giai đoạn phụ","Tất cả A, B, C",trống,D,"Vị trí của con người rất đa dạng, bao gồm cả 3 trường hợp trên."
Chuong1_cau114,114. Những yếu tố của dây truyền nhiễm KST,"Đường ra, nguồn nhiễm","Phương thức lây truyền, đường vào",Cơ thể cảm thụ,"Tất cả A, B, C",trống,D,"Dây truyền nhiễm KST gồm: Đường ra, nguồn nhiễm, Phương thức lây truyền, Đường vào, và Cơ thể cảm thụ."
Chuong1_cau115,115. KST có thể rời ký chủ theo con đường nào,"Chất ngoại tiết, phân tiết",Qua da và nhờ một trung gian truyền bệnh,Ký sinh chủ chết,"Tất cả A, B, C",trống,D,"KST có thể rời ký chủ theo nhiều con đường: Chất ngoại tiết, Qua da/trung gian truyền bệnh, hoặc khi ký chủ chết."
Chuong1_cau116,116. Con người luôn luôn có thể nhận KST từ nguồn,"Đất, nước,thực phẩm","Chó, thú ăn cỏ,côn trùng hút máu","Người khác, tự nhiễm","Tất cả A, B, C",trống,D,"Con người có thể nhận KST từ Đất/nước/thực phẩm, Động vật, Người khác/tự nhiễm."
Chuong1_cau117,117. Con người có thể nhận KST bằng nhiều phương thức,"Nuốt qua miệng, đi chân đất","Tiếp xúc với nước, hít qua đường hô hấp","Côn trùng đốt, giao hợp","Tất cả A, B, C",trống,D,"Con người có thể nhận KST bằng nhiều phương thức: Nuốt qua miệng, Đi chân đất, Tiếp xúc với nước, Hít qua đường hô hấp, Côn trùng đốt, Giao hợp."
Chuong1_cau118,118. KST y học có thể xâm nhập ký chủ qua con đường,"Miệng, da, hô hấp","Sinh dục, lá nhau (vào thai nhi)",Cả A và B,Tất cả đều sai,trống,C,"KST có thể xâm nhập qua Miệng, Da, Hô hấp, Sinh dục, và Lá nhau (vào thai nhi)."
Chuong1_cau119,119. Khả năng nhiễm hoặc đề kháng với KST có thể thay đổi theo,"Nhân chủng, giới tính, tuổi, nghề nghiệp","Dinh dưỡng, cơ địa mỗi người, bệnh tật bồi them",Hệ thống miễn dịch,"Tất cả A, B, C",trống,D,Khả năng nhiễm/đề kháng bị ảnh hưởng bởi tất cả các yếu tố trên.
Chuong1_cau120,120. Các yếu tố ảnh hưởng tới sự phân bố KST,"Sinh địa lý, khí hậu, thổ nhưỡng, nhân chủng",Những tai họa lớn do thiên nhiên hay co người,Nghề nghiệp và phương thức lao động,"Tất cả A, B, C",trống,D,"Các yếu tố ảnh hưởng tới sự phân bố KST bao gồm Sinh địa lý, khí hậu, và yếu tố con người (Nghề nghiệp, tai họa)."
Chuong1_cau121,121. Tác hại của KST đối với ký chủ,Tác hại tại chỗ,Tác hại toàn thân,Cả A và B,Tất cả đều sai,trống,C,Tác hại của KST đối với ký chủ có thể là Tại chỗ hoặc Toàn thân.
Chuong1_cau122,122. Tác hại tại chỗ của KST đối với ký chủ,Gây tắc nghẽn cơ học,Gây phản ứng mô,Phá vỡ tế bào,Tất cả đều đúng,trống,D,"Tác hại tại chỗ bao gồm Gây tắc nghẽn cơ học, Gây phản ứng mô, và Phá vỡ tế bào."
Chuong1_cau123,123. Tác hại toàn thân của KST đối với ký chủ,Gây biến đổi huyết học,Phóng thích các chất độc,Tước đoạt thức ăn,"Tất cả A, B và C",trống,D,"Tác hại toàn thân bao gồm Gây biến đổi huyết học, Phóng thích các chất độc, và Tước đoạt thức ăn (mất sinh chất)."
Chuong1_cau124,124. Miễn dịch của ký chủ đối với KST,Miễn dịch tự nhiên,Miễn dịch thu được,Cả A và B,Không có miễn dịch,trống,C,Miễn dịch của ký chủ đối với KST gồm Miễn dịch tự nhiên và Miễn dịch thu được.
Chuong1_cau125,125. Miễn dịch dung nạp là,Trung hòa tác dụng độc tố của KST,Ngăn hẳn sự tái nhiễm,Tống KST ra khỏi cơ thể,"Tất cả A, B, C",trống,A,Miễn dịch dung nạp là miễn dịch trung hòa độc tố của KST nhưng không hủy diệt KST.
Chuong1_cau126,126. Thâm kháng nguyên,Kháng nguyên than,Toàn bộ kháng nguyên phong phú của KST,Độc tố của KST,Tất cả đều sai,trống,B,Thâm kháng nguyên là Toàn bộ kháng nguyên phong phú của KST.
Chuong1_cau127,127. Cơ chế tồn tại của KST trước đáp ứng miễn dịch của ký chủ,"Ấn vào tế bào ký chủ, ngụy trang và bắt trước kháng nguyên ký chủ","Ức chế miễn dịch, thay đổi kháng nguyên",Cả A và B,Ngụy trang và bắt trước kháng nguyên ký chủ,trống,C,"KST tồn tại bằng cách Ấn vào tế bào, Ngụy trang, Ức chế miễn dịch và Thay đổi kháng nguyên."
Chuong1_cau128,128. KST chính ở người thuôc giới,Giới động vật và nấm,Giới động vật và thực vật,Giới nấm và thực vật,Tất cả đều sai,trống,A,KST ở người thuộc Giới động vật và Nấm.
Chuong1_cau129,129. KST thuộc giới động vật,Đơn bào và đa bào,"Chân khớp, than mềm và parathropodes",Cả A và B,Giun sán,trống,A,KST thuộc giới động vật gồm Đơn bào và Đa bào.
Chuong1_cau130,130. Đặc điểm của bệnh KST,Bệnh KST có tính phổ biến theo vùng,Phần lớn bệnh KST biểu hiện rất thầm lặng,Cả A và B,Bệnh KST không có tính phổ biến theo vùng,trống,C,Đặc điểm của bệnh KST là có tính phổ biến theo vùng và biểu hiện rất thầm lặng.
Chuong1_cau131,131. Hội chứng bệnh KST,"Hiện tượng viêm, nhiễm độc, hao tổn, dị ứng",Làm chết ký chủ,Cả A và B,Không gây bệnh cho ký chủ,trống,A,"Hội chứng bệnh KST gồm Viêm, nhiễm độc, hao tổn, dị ứng."
Chuong1_cau132,132. Miễn dịch thu được đối với KST sẽ,Nhanh chóng biến mất,Tồn tại suốt đời,Cả A và B,Không giết chết KST,trống,A,Miễn dịch thu được đối với KST Nhanh chóng biến mất.
Chuong1_cau133,133. Đặc điểm dịch tễ học của bệnh KST,Phát tán nhanh nhưng mau tàn,Diễn ra từ từ và kéo dài,Diễn ra nhanh và kéo dài,"Cả A, B và C",trống,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau134,134. Trong chuẩn đoán bệnh KST thường,Chẩn đoán lâm sang,Chẩn đoán ký sinh học,Kết hợp chẩn đoán lâm sang và ký sinh học,Chẩn đoán miễn dịch,trống,C,Chẩn đoán bệnh KST cần Kết hợp chẩn đoán lâm sàng và ký sinh học.
Chuong1_cau135,135. Chẩn đoán ký sinh y học bao gồm,Chẩn đoán lâm sàng và xét nghiệm trực tiếp,Xét nghiệm gián tiếp,Xét nghiệm trực tiếp và gián tiếp,"Cả A, B và C",trống,A,Chẩn đoán ký sinh y học bao gồm chẩn đoán lâm sàng và xét nghiệm trực tiếp.
Chuong1_cau136,136. Xét nghiệm gián tiếp là các phương pháp,Thử nghiệm bì,"Phản ứng với kháng nguyên sống, kháng nguyên hòa tan",Các phương pháp miễn dịch men,"Tất cả A, B và C",trống,B,"Xét nghiệm gián tiếp là Phản ứng với kháng nguyên sống, kháng nguyên hòa tan."
Chuong1_cau137,137. Xét nghiệm trực tiếp là,Tìm KST trong bệnh phẩm,Tìm KST bằng phương pháp miễn dịch,Tìm KST trong máu,"Tất cả A, B và C",trống,C,Xét nghiệm trực tiếp là tìm KST trong bệnh phẩm. Tìm KST trong máu là một ví dụ.
Chuong1_cau138,138. Đặc điểm chủ yếu trong dịch tể học của bệnh ký sinh trùng là,"Bệnh có thể phát thành dịch, dịch diễn ra từ từ và kéo dài",KST tồn tại hầu như vô tận song song với con người,Cả A và B,KST chỉ tồn tại trong thời gian ngắn,trống,C,"Đặc điểm chủ yếu là bệnh diễn ra từ từ và kéo dài, và KST tồn tại hầu như vô tận song song với con người."
Chuong1_cau139,"139. Muốn có kết quả, việc dự phòng bệnh KST phải",Tiến hành trên qui mô lớn,"Có kế hoạch, có trọng tâm trọng điểm",Kiên trì và dựa vào quần chúng,"Tất cả A, B và C",trống,D,"Dự phòng bệnh KST cần Tiến hành trên qui mô lớn, Có kế hoạch, có trọng tâm trọng điểm, và Kiên trì/dựa vào quần chúng."
Chuong1_cau140,"140. Xét nghiệm gián tiếp bệnh KST gồm các phương pháp sau, trừ",Thử nghiệm bì,Phản ứng kết tủa,Tập trung KST bằng phương pháp thích hợp,Miễn dịch hấp phụ gắn men (ELISA),trống,A,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau141,141. Những KST có tính đặc hiệu về ký chủ thì,Dễ phòng chống,Không phòng chống được,Khó phòng chống,"Tất cả A, B và C",trống,C,KST có tính đặc hiệu hẹp về ký chủ thì Khó phòng chống.
Chuong1_cau142,142. Bệnh động vật ký sinh là.,Những bệnh và những hiện tượng nhiễm ký sinh trùng qua lại tự nhiên giữa động vật có xương sống và người,Những bệnh ký sinh trùng lây từ động vật có xương sống sang người và ngược lại,Những bệnh và hiện tượng nhiễm ký sinh trùng qua lại tự nhiên giữa động vật có vú và người,Những bệnh và hiện tượng nhiễm ký sinh trùng qua lại tự nhiên giữa động vật nuôi gần người và người,trống,B,Bệnh động vật ký sinh là những bệnh KST lây từ động vật có xương sống sang người và ngược lại.
Chuong1_cau143,143. Quá trình ký sinh trùng di chuyển từ ký chủ này sang ký chủ khác tuỳ thuộc.,Yếu tố cộng đồng trong một sinh cảnh,Khả năng tiếp nhận ký sinh trùng của từng cơ thể cảm thụ,"Tính đặc hiệu ký sinh, vị trí ký sinh, yếu tố cộng đồng trong một sinh cảnh","Tính đặc hiệu ký sinh, vị trí ký sinh, yếu tố cộng đồng trong một sinh cảnh, khả năng tiếp nhận ký sinh trùng của từng cơ thể cảm thụ",trống,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau144,144. Hội chứng ấu trùng di chuyển (larva migrans) gây ra do.,Ấu trùng giun có tính năng động cao,Ấu trùng giun sán nói chung,Ấu trùng sán dây,Ấu trùng sán lá,trống,A,Hội chứng ấu trùng di chuyển gây ra do Ấu trùng giun có tính năng động cao.
Chuong1_cau145,145. Bệnh động vật ký sinh gặp ở những người làm nghề nghiệp nào sau đây.,Buôn bán,Nuôi thú,Nuôi gia cầm,Nuôi cá,trống,B,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau146,146. Ký sinh trùng ký sinh trong hệ tiêu hóa là.,Giun kim,Giun móc,Giun tóc,Giun xoắn,Tất Cả đều đúng.,E,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau147,"147. Trong các đặc điểm của bệnh ký sinh trùng, đặc điểm nào quan trọng nhất?",Bệnh lây truyền.,Bệnh thường có tính chất gia đình.,Bệnh thường có tính chất vùng.,Bệnh thường diễn biến mạn tính.,Bệnh thường do nhiều loại ký sinh trùng cùng gây ra.,D,Bệnh lý do KST thường diễn biến mạn tính và kéo dài.
Chuong1_cau148,148. Chu kỳ phát triển của ký sinh trùng phải trải qua.,Một vật chủ,Hai vật chủ,Tối thiểu một vật chủ và có thể qua nhiều vật chủ trung gian.,Không qua vật chủ.,Qua môi trường tự nhiên.,C,Chu kỳ KST phải trải qua Tối thiểu một vật chủ và có thể qua nhiều vật chủ trung gian.
Chuong1_cau149,149. Tính đặc hiệu ký sinh của ký sinh trùng là.,Tính đặc hiệu về ký chủ,Tính đặc hiệu về cơ quan,Tính đặc hiệu về giới tính,Tính đặc hiệu về chu kỳ,Tính đặc hiệu về môi trường,A,Tính đặc hiệu KST bao gồm Tính đặc hiệu về ký chủ và cơ quan.
Chuong1_cau150,150. Bệnh lý do ký sinh trùng thường có tính chất gì?,Cấp tính,Mạn tính,Tính chu kỳ,Bùng phát bất ngờ,Khó tiên đoán,B,Bệnh lý do KST thường diễn biến Mạn tính.
Chuong1_cau151,151. Bệnh ký sinh trùng có thể phòng tránh được bằng cách.,Diệt ký sinh trùng trưởng thành,Diệt ký sinh trùng ở giai đoạn ấu trùng,Diệt ký sinh trùng ở tất cả các giai đoạn phát triển,Tăng cường dinh dưỡng cho vật chủ,Tăng cường miễn dịch tự nhiên,C,Phòng tránh KST bằng cách Diệt KST ở tất cả các giai đoạn phát triển.
Chuong1_cau152,152. Đặc điểm nào sau đây không phải là đặc điểm chung của ký sinh trùng.,Sống nhờ vào vật chủ,Luôn gây tử vong cho vật chủ,Sử dụng các chất dinh dưỡng của vật chủ,Có chu kỳ sống qua nhiều giai đoạn,Có thể sống ngoài vật chủ trong giai đoạn trứng hoặc ấu trùng,B,KST không Luôn gây tử vong cho vật chủ.
Chuong1_cau153,153. Phương pháp phòng bệnh ký sinh trùng đơn giản nhất là.,Rửa tay trước khi ăn và sau khi đi vệ sinh,Uống thuốc giun định kỳ,Tránh ăn thịt sống,Sử dụng thuốc diệt ký sinh trùng,Kiểm tra sức khỏe định kỳ,A,Rửa tay sạch sẽ là phương pháp đơn giản nhất.
Chuong1_cau154,154. Đặc điểm chung của mối liên hệ ‘Hội sinh’.,"Một bên có lợi, một bên không ảnh hưởng",Cả 2 bên cùng có lợi,"Một bên có lợi, một bên có hại",Cả 2 bên cùng có hại,trống,B,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau155,155. Đặc điểm chung về hình thể giun ký sinh.,"Con đực nhỏ hơn con cái, con đực đuôi thẳng, con cái đuôi cong.","Con đực lớn hơn con cái, con đực đuôi cong, con cái đuôi thẳng.","Con đực lớn hơn con cái, con đực đuôi thẳng, con cái đuôi cong.","Con đực nhỏ hơn con cái, con đực đuôi cong, con cái đuôi thẳng.",trống,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau156,156. Những yếu tố của dây truyền nhiễm kst chọn ý đúng ĐẠI CG,đường đào thải của kst,mầm bệnh,đường xâm nhập của kst,tất cả,nguồn bệnh,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau157,157. Mức độ chiếm thức ăn của kst thay đổi theo những yếu tố nào chọn ý SAI ĐẠI CG,Sự phục hồi của cơ thể vật chủ,Loại kst,Phản ứng của cơ thể,Giai đoạn phát triển trong chu kỳ của kst,Số lượng kst,A,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau158,158. Mức độ tác hại gây kích thích của kst đối với vật chủ phụ thuộc vào ĐẠI CG,Loài kst,Tính phản ứng của cơ thể đối với kích thích,Số lượng kst,trống,trống,A,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau159,159. Sinh vật nào dưới đây không phải kst ĐẠI CG,Giardia intestinalis(Trùng roi thìa),Entamoeba coli(Vi khuẩn đường ruột- Vi sinh),Entamoeba histolytica(Amip),Balantidium Coli(trùng lông),trống,B,Entamoeba coli là KST hội sinh.
Chuong1_cau160,160. Mầm bệnh của kst có thể là chọn ý SAI ĐẠI CG,Trứng,Ấu trùng,Bào nang già,Con trưởng thành,Bào nang non,E,Bào nang non không phải mầm bệnh.
Chuong1_cau161,161. Kỹ thuật dùng trong phương pháp KST học để chẩn đoán bệnh kst là ĐẠI CG,Nhuộm soi,Soi trực tiếp,Nuôi cấy,Quan sát đại thể và nhuộm soi,Quan sát đại thể,C,Nuôi cấy là một kỹ thuật được sử dụng trong chẩn đoán KST học.
Chuong1_cau162,162. Loại chu kì đơn giản 1 là chọn ý SAI ĐẠI CG,Vật chủ chính và vật chủ phụ(loại 2),Không cần vật chủ hoặc không cần ngoại cảnh hoặc chỉ cần 1 vật chủ,Toàn bộ chu kỳ thực hiện ở ngoại cảnh,Không cần tới ngoại cảnh,Cần cả vật chủ và ngoại cảnh,A,Chu kỳ đơn giản (Loại 1) không cần Vật chủ chính và phụ (là đặc điểm của chu kỳ loại 2).
Chuong1_cau163,163. Đặc điểm về sinh sản của kst là ĐẠI CG,Nhiều,Nhanh,Có nhiều hình thức sinh sản,Dễ dàng,Tất cả ý trên,E,"Đặc điểm sinh sản KST là Nhanh, nhiều, có nhiều hình thức sinh sản, dễ dàng."
Chuong1_cau164,164. Đặc điểm sinh tồn của kst phụ thuộc vào ĐẠI CG,Môi trường sống và vật chủ,"Môi trường sống, chu kỳ, vật chủ",Môi trường sống,Chu kỳ,Vật chủ,B,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau165,165. Mức độ gây kích thích cho vật chủ của KST phụ thuộc vào ĐẠI CG,Tính phản ứng với nốt kích thích,Thời gian của những kích thích,Những chất bài xuất của kst,Số lượng KST,Thể trạng của vật chủ,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau166,166. Khả năng nhiễm hoặc đề kháng với KST có thể thay đổi theo chọn ý SAI ĐẠI CG,Nghề nghiệp,Tuổi,Nhân chủng,Môi trường,Cơ địa,D,"Khả năng nhiễm/đề kháng bị ảnh hưởng bởi Nghề nghiệp, Tuổi, Nhân chủng, Cơ địa, không phải Môi trường."
Chuong1_cau167,167. Loại chu kỳ phức tạp là ĐẠI CG,Toàn bộ chu kỳ thực hiện ngoại cảnh,Không cần tới ngoại cảnh,vật chủ chính và vật chủ phụ,Không cần vật chủ hoặc không cần ngoại cảnh hoặc chỉ cần 1 vật chủ,Cần cả vật chủ và ngoại cảnh,C,"Chu kỳ phức tạp là chu kỳ gián tiếp, cần vật chủ chính và vật chủ phụ."
Chuong1_cau168,168. Sinh vật nào sau đây không phải là KST ĐẠI CG,Bọ chét,Rận,Ruồi nhà,Muỗi cái,Chấy,C,Ruồi nhà không phải KST.
Chuong1_cau169,169. Một trong những ảnh hưởng của kst đối với cơ thể vật chủ chọn SAI ĐẠI CG,Gây tắc cơ học,Gây độc,Gây sốt,Vận chuyển mầm bệnh,Chiếm thức ăn,C,"Gây sốt là triệu chứng bệnh, không phải là tác hại trực tiếp của KST."
Chuong1_cau170,170. Những yếu tố của dây truyền nhiễm KST là chọn SAI ĐẠI CG,Đường ra và đường vào của KST,Nguồn bệnh,Ổ bệnh tự nhiên,KHối cảm thụ,Mầm bệnh,C,Ổ bệnh tự nhiên không phải là yếu tố của dây truyền nhiễm KST.
Chuong1_cau171,171. Nguyên tắc phòng chống bệnh kst trừ ĐẠI CG,"Tiến hành lâu dài, các kế hoạch nối tiếp nhau",Tiến hành trên quy mô rộng lớn,Kết hợp điều trị cho người bệnh và diệt vật chủ trung gian truyền bệnh,Có trọng tâm trọng điểm,Xã hội hóa công tác phòng chống,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau172,172. Bệnh kst phổ biến nhất ở nước ta ĐẠI CG,Giun đũa,Sốt rét,Giun chỉ,Amip,5,A,Giun đũa là bệnh KST phổ biến nhất ở Việt Nam.
Chuong1_cau173,173. KST nào sau đây là kst gây bệnh ĐẠI CG,Anopheles minimus,Sarcoptes scabiei,Musca domestica,Xenopsylla cheopis,trống,B,Sarcoptes scabiei (Cái ghẻ) là KST gây bệnh.
Chuong1_cau174,174. Vật chủ phụ của KST là Người ĐẠI CG,Mang kst ở giai đoạn sinh sản hữu tính,Mang kst ở thể trưởng thành,Mang kst ở giai đoạn sinh sản vô tính,Mang kst hoặc ở thể kst chưa trưởng thành,trống,D,Vật chủ phụ chứa KST ở giai đoạn sinh sản vô tính hoặc KST chưa trưởng thành.
Chuong1_cau175,175. KSt là những ĐẠI CG,Sinh vật,Vi nấm,Thực vật,Thực vật và vi nấm,Động vật,A,KST là Sinh vật.
Chuong1_cau176,176. vật chủ chính của kst y học là. Người ĐẠI CG,mang kst ở thể trưởng thành,Mang kst hoặc ở thể trưởng thành hoặc có giai đoạn sinh sản hữu tính,mang kst ở giai đoạn sinh sản vô tính,Mang KST ở giai đoạn sinh sản hữu tính,trống,B,Vật chủ chính chứa KST trưởng thành hoặc sinh sản hữu tính.
Chuong1_cau177,177. Bội kst là gì ĐẠI CG,Sống trong cơ thể người nhưng không gây bệnh[ Nhiều kst sống trên vật chủ,Kst vừa có khả năng gây bệnh và truyền bệnh,Một kst ký sinh trên một kst khác,Một kst ký sinh được trên nhiều vật chủ,trống,C,Bội KST là Một KST ký sinh trên một KST khác.
Chuong1_cau178,178. Các hình thức sinh sản của kst là ĐẠI CG,"Vô tính, Hữu tính, phôi tử sinh",8,"Vô tính, hữu tính, đa phôi, phôi tử sinh","Vô tính, hữu tính, đa phôi",Vô tính và hữu tính,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau179,"179. Theo danh pháp quốc tế, tên kst bao gồm ĐẠI CG","Tên giống, loài, loài phụ","Tên giống, loài và chủng",Tên giống và loài,Tên loài và chủng,Tên họ và giống,B,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau180,180. Ảnh hưởng quan trọng nhất của KST với vật chủ là ĐẠI CG,Gây độc,Gây tắc cơ học,Gây viêm dị ứng,Vận chuyển mầm bệnh,Chiếm thức ăn,E,Ảnh hưởng quan trọng nhất của KST là Chiếm thức ăn (hao sinh chất).
Chuong1_cau181,181. Hội chứng bệnh kst gồm,"Viêm, nhiễm độc, hao tổn chất, dị ứng","Hao tổn chất, nhiễm độc, dị ứng, sốt","Sốt, dị ứng, viêm, hao tổn chất,","Viêm, nhiễm độc, dị ứng, sốt","Viêm, nhiễm độc, tắc cơ học, hao tổn chất",A,"Hội chứng bệnh KST gồm Viêm, nhiễm độc, hao tổn chất, dị ứng."
Chuong1_cau182,182. Hiện tượng tắc cơ học do kst tùy thuộc vào cá yếu tố chọn SAI,Nhiều kst tập hợp lại với nhau thành 1 khối,Do xác của bạch cầu và đại thực bào,Do phản ứng của cơ thể vật chủ,Do xác kst đã chết,Kích thước của kst,B,Tắc cơ học không phải do xác của bạch cầu và đại thực bào.
Chuong1_cau183,183. mức độ chấn thương của vật chủ có thể thay đổi theo yếu tố sau.1. số lượng ký sinh trùng 2. kích thước ký sinh trùng 3. những tổn thương sẵn có 4. những viêm nhiễm phụ kèm theo 5 phản ứng của cơ thể ĐẠI CG KST,135,134,123,63,145,B,"Mức độ chấn thương thay đổi theo Số lượng KST (1), những tổn thương sẵn có (3), những viêm nhiễm phụ kèm theo (4)."
Chuong1_cau184,184. Đặc điểm về miễn dịch trong bệnh ký sinh trùng.1.Không cao 2. bền vững 3. Không bền vững 4. Thiết lập được trong thời gian ngắn 5. Phải mất thời gian dài mới tạo được miễn dịch ĐẠI CG KST,145,135,123,134,trống,B,"Miễn dịch KST: Không cao (1), Không bền vững (3), Phải mất thời gian dài mới tạo được miễn dịch (5)."
Chuong1_cau185,185. Hình thể ký sinh trùng có đặc điểm . 1. Các loại ký sinh trùng khác nhau có hình thể khác nhau /2.Trong cùng 1 loài ký sinh trùng ở những giai đoạn phát triển khác nhau có hình thể khác nhau/ 3. Biến hình khi môi trường sống thay đổi/ 4. Hình thể phụ thuộc vào vị trí ký sinh / 5. Ấu trùng giống con trưởng thành,135,123,145,134,trống,B,"Hình thể KST có đặc điểm (1), (2), (3)."
