id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich,
Chuong2-3-cau134,134. Bạch cầu ái toan thường không tăng khi người nhiễm loại KST. TRÙNG ROI,Giardia intestinalis.,Ascaris lumbricoides.,Ancylostoma duodenale.,Toxocara canis.,Plasmodium falciparum.,A,G. intestinalis không gây tăng bạch cầu ái toan [44].,
Chuong2-3-cau135,135. Trùng roi Giardia intestinalis ký sinh ở.,Tá tràng và ruột non,Dạ dày,Đại tràng,Gan,Máu,A,"G. intestinalis ký sinh ở tá tràng và ruột non [2, 44].",
Chuong2-3-cau136,136 . KST nào sau đây là ngoại KSt ROI,G.intestinalis,P.vivax,E.histolytica,T.vaginalis,B.coli,D,"T. vaginalis ký sinh ở đường niệu sinh dục (ngoại KST) [44, 45].",
Chuong2-3-cau137,137 . KST nào dưới đây thuộc kiểu chu kì 2 toàn bộ chu kỳ phát triển trên vật chủ TRÙNG ROI,T.vaginalis,A.lumbricoides,B.coli,E.histolytica,G.lamblia,B,"A. lumbricoides có chu kỳ trực tiếp dài (kiểu 2), cần giai đoạn ngoại cảnh [46, 47].",
Chuong2-3-cau138,138 . Đơn bào có lông kí sinh ở đường tiêu hóa LÔNG,p.vivax,Giardia lamblia,p.falci,B. coli,Trichomonas vaginalis,D,B. coli là trùng lông ký sinh ở đường tiêu hóa (đại tràng) [46].,
Chuong2-3-cau139,139 . Bệnh do t.vaginalis thường gặp ở ROI,Nữ giới,Nam giới,Người đồng giới,Trẻ em,Gái mại dâm,A,T. vaginalis phổ biến ở nữ giới [46].,
Chuong2-3-cau140,140. Nguyên tắc điều trị T.vaginalis trừ ROI,Không quan hệ tình dục khi điều trị,Làm thay đổi PH âm đạo,Không dùng chung bơm tiêm,Điều trị cả vợ cả chồng hoặc bạn tình,Dùng thuốc đặc hiệu,C,"T. vaginalis lây qua đường tình dục, không phải đường tiêm chích [46, 48].",
Chuong2-3-cau141,141 . KST không gây bệnh ở đường tiêu hóa ROI,B.coli,T.vaginalis,Trichomonas intestinalis,22,E.histolytica,B,"T. vaginalis ký sinh ở niệu dục, không phải đường tiêu hóa [48].",
Chuong2-3-cau142,"142 . KST gây bệnh ở đường tiết niệu, sinh dục ROI",G.intestinalis,B.coli,P.falci,T.vaginalis,E.histolytica,D,"T. vaginalis gây bệnh ở đường tiết niệu, sinh dục [48].",
Chuong2-3-cau143,143. Đơn bào di chuyển bằng roi ROI,P.vivax,E.coli,g.intestinalis,entamoeba histolytica,,C,G. intestinalis là trùng roi [48].,
Chuong2-3-cau144,144 . Đơn bào có khả năng lây nhiễm qua nguồn nước ROI,E.histolytica,B.coli,G.lamblia,T.vaginalis,E.coli,C,"G. lamblia (bào nang) lây qua nguồn nước [8, 49].",
Chuong2-3-cau145,145 . Vị trí ký sinh thường gặp của t.vaginalis ROI,Ruột non,đường sinh dục tiết niệu,Tá tràng,Dạ dày,,B,T. vaginalis ký sinh ở đường sinh dục tiết niệu [49].,
Chuong2-3-cau146,146 . Đơn bào chuyển động bằng roi ROI,B.coli,"T.vaginalis, e.histolytica","G.intestinalis,T.Vaginalis",,,C,Cả G. intestinalis và T. vaginalis đều là trùng roi [49].,
Chuong2-3-cau147,147 . Hình thể thường gặp của t.vaginalis ROI,Hình hạt vừng,hạt hình mơ,Hình quả cam bổ dọc,Hình quả lê bổ dọc,,D,T. vaginalis có hình dạng quả lê [49].,
Chuong2-3-cau148,148 . T.vaginalis có thể kí sinh ở đâu trừ ROI,Vòi trứng,Hậu môn,Buồng trứng,Bàng quang,Niệu đạo,B,"T. vaginalis ký sinh ở niệu đạo, bàng quang, nhưng không ký sinh ở hậu môn [49, 50].",
Chuong2-3-cau149,149 . Đơn bào nào sau đây không có thể bào nang ROI,E.histolytica,G.lamblia,C.E.coli,B.coli,T.vaginalis,E,T. vaginalis không có thể bào nang [50].,
Chuong2-3-cau150,150 . Phương thức lây truyền của t.vaginalis ROI,Bắt tay,Mẹ Truyền sang con,Tiêm chích,Ôm hôn,Tình dục,E,T. vaginalis lây truyền qua quan hệ tình dục [50].,
Chuong2-3-cau151,151 . Đơn bào có thể lây nhiễm qua đường tình dục ROI,B.coli,T.vaginalis,E.histolytica,E.coli,,B,T. vaginalis lây qua đường tình dục [50].,
Chuong2-3-cau152,152 . T.vaginalis có thể xâm nhập vào cơ thể theo con đường nào trừ ROI,Qua giao hợp và nước sinh hoạt,Trực tiếp qua nước sinh hoạt,Qua giao hợp là chủ yếu,Gián tiếp qua nước sinh hoạt,Trực tieps qua giao hợp,B,"T. vaginalis lây qua giao hợp, không lây trực tiếp qua nước sinh hoạt [50, 51].",
Chuong2-3-cau153,153 . Bệnh phẩm để chẩn đoán bệnh t.vaginalis ROI,"Dịch âm đạo, tiết niệu",Phân,Da,Máu,Đờm,A,Bệnh phẩm là dịch âm đạo hoặc tiết niệu [51].,
Chuong2-3-cau154,154 . Bào tử có kích thước lớn nhất trong KST LÔNG,B.coli,G.intestinalis,P.Vivax,T.vaginalis,E.histolytica,T.Vaginalis,A,B. coli là đơn bào lớn nhất ký sinh ở người [51].
Chuong2-3-cau155,155 . Nhân lớn hình hạt đậu là đặc điểm của đơn bào nào sau đây LÔNG,E.histolytica,T.Vaginalis,P.Vivax,B.coli,T.vaginalis,D,Nhân lớn hình hạt đậu là đặc điểm của Balantidium coli [51].,
Chuong2-3-cau156,156 . Đơn bào thuộc lớp trùng lông LÔNG,P.Vivax,T.vaginalis,B.coli,E.histolytica,T.Vaginalis,C,B. coli thuộc lớp trùng lông [52].,
Chuong2-3-cau157,157 . Vị trí ký sinh của b.coli LÔNG,Trực tràng,Manh tràng,Tá tràng,Ruột non,Kết tràng,B,B. coli ký sinh chủ yếu ở manh tràng [52].,
Chuong2-3-cau158,158 . Hình thức sinh sản của b.coli LÔNG,"Vô tính, hữu tính",Đơn tính,Lưỡng tính,,,A,B. coli sinh sản vô tính và hữu tính [52].,
Chuong2-3-cau159,"159 . B.coli tấn công thành ruột và gây bệnh khi , trừ LÔNG",Sốt,Nhiễm độc thức ăn,Có lỵ trực khuẩn,Có vi khuẩn thương hàn,Nhiễm trùng,A,"Sốt là triệu chứng, không phải yếu tố khiến B. coli tấn công thành ruột [52].",
Chuong2-3-cau160,160 . Đơn bào có thể gây hội chứng lỵ LÔNG,"E.histolytica,b.coli",G.intestinalis,T.Vaginalis,P.Vivax,B.coli,A,Cả E. histolytica và B. coli đều gây hội chứng lỵ [53].,
Chuong2-3-cau161,161 . Phương pháp để chẩn đoán bệnh b.coli là LÔNG,Phương pháp miễn dịch,Xét nghiệm dịch tá tràng,Xét nghiệm máu,Xét nghiệm dịch âm đạo,Xét nghiệm phân,E,Chẩn đoán B. coli bằng xét nghiệm phân [53].,
Chuong2-3-cau162,162 . Đường lây nhiễm B.coli LÔNG,tiết niệu,Tiêm chích,Tiêu hóa,Sinh dục,Muỗi đốt,C,B. coli lây nhiễm qua đường tiêu hóa [53].,
Chuong2-3-cau163,163 . Động vật có tỷ lệ mắc B.coli cao LÔNG,Gà,Lợn,Bò,Trâu,Chó,B,"Lợn (heo) là động vật có tỷ lệ mắc B. coli cao, là nguồn lây chính sang người [53].",
Chuong2-3-cau164,164 . Các đơn bào nào sau đây có khả năng tạo bào nang trừ ROI,T.Vaginalis,B.coli,P.Vivax,E.histolytica,G.intestinalis,A,Trichomonas vaginalis không có thể bào nang [54].,
Chuong2-3-cau165,165 . Bào nang của B.coli có LÔNG,2 nhân,4 nhân,8 nhân,1 nhân,3 nhân,D,Bào nang B. coli có 1 nhân [54].,
Chuong2-3-cau166,166 . Thể hoạt động của g.intestinalis có đặc điểm trừ ROI,Có 1 sống thân,Có 4 đôi roi,cơ thể đối xứng qua trục sống phân,Có 1 nhân,Có 2 nhân,D,"Thể hoạt động G. lamblia có 2 nhân, không phải 1 nhân [54].",
Chuong2-3-cau167,167 . Chẩn đoán xác định G.intestinalis bằng kỹ thuật trừ ROI,Xét nghiệm trực tiếp dịch tá tràng,Chẩn đoán huyết thanh,"Xét nghiệm phân trực tiếp với NaCl 8,5%",Xét nghiệm phân trực tiếp bằng dung dịch lugol kép,,C,"Xét nghiệm phân trực tiếp với NaCl ưu trương (8,5%) không phải kỹ thuật chuẩn dùng cho G. intestinalis [54].",
Chuong2-3-cau168,168 . Trong cộng đồng dùng xét nghiệm gì để chẩn đoán g.intestinalis ROI,Nuôi cấy phân,Nuôi cấy dịch tá tràng,Nhuộm phân,Xét nghiệm phân trực tiếp,Chẩn đoán huyết thanh,D,Xét nghiệm phân trực tiếp là phương pháp phổ biến nhất trong cộng đồng để chẩn đoán G. intestinalis [55].,
Chuong2-3-cau169,169 . Vị trí ký sinh chủ yếu của G.intestinalis trong cơ thể người ROI,Đại tràng lớn,Ruột non,Manh tràng,Tá tràng,Đại tràng ngang,D,"G. intestinalis ký sinh chủ yếu ở tá tràng [2, 55].",
Chuong2-3-cau170,170 . Triệu chứng lâm sàng của G.intestinalis trừ ROI,Tiêu chảy,Thiếu máu,Đau bụng,Rối loạn tiêu hóa,"Phân lỏng, nhiều bọt",B,"Thiếu máu là tác hại toàn thân (hậu quả của kém hấp thu), không phải triệu chứng lâm sàng trực tiếp [55].",
Chuong2-3-cau171,171 . G.intestinalis tồn tại trong cơ thể người ở các thể ROI,Bào nang 1 nhân,"Thể hoạt động, bào nang 2 nhân, bào nang 4 nhân",Bào nang 8 nhân,,,B,"G. intestinalis tồn tại dưới dạng thể hoạt động, bào nang 2 nhân, bào nang 4 nhân [56].",
Chuong2-3-cau172,"172 . Thê hoạt động của g,intestinalis có đặc điểm ROI",Có 2 nhân,Có 4 nhân,Có 2 nhân và 8 roi,có 2 đôi roi,,C,"Thể hoạt động G. lamblia có 2 nhân và 8 roi (4 đôi roi) [2, 56].",
Chuong2-3-cau173,173 . G.intestinalis thuộc kiểu chu kỳ ROI,2,4,3,5,,[Không tìm thấy],[Không tìm thấy],
Chuong2-3-cau174,174 . Thể có khả năng lây nhiễm của g.intestinalis ROI,Bào nang 4 nhân,Bào nang 1 nhân,Bào nang 8 nhân,Thể hoạt động,,A,Bào nang 4 nhân là thể lây nhiễm của G. intestinalis [56].,
Chuong2-3-cau175,175 . Thuốc điều trị t.vaginalis ROI,Metronidazol,Pyrantel pamoat,Piperazin,Mebendazol,Albendazol,A,Metronidazol là thuốc chính điều trị T. vaginalis [56].,
Chuong2-3-cau176,176 . Thuốc điều trị G.intestinalis ROI,Piperazin,tinidazol,Pyrantel pamoat,Albendazol,Mebendazol,B,Tinidazol là một trong những thuốc điều trị G. intestinalis [57].,
